Type,Order,Family,Genus,Species,authority,Popular_name_PT,English_name,BR,RR,RB,TP,SG,SB,EM,OC,Habitat use,Depth_category,max_depth_m,Size_category,Maximum_size_cm,Mobility,Geographic_distribution,Trophic_category ,Functional group,Potencial de dispersão,Rafting,Targeted_species_fisheries,IUCN,National list,Brazilian Province,Argentine,North Islands,Central Islands,PML-PAMA,Northeast with PAMA-PML,Northeast,Southeast,Noronha/rocas,Atol,FN,SpSp,PML,PA-MA,CE,RN,PE,PB,AL,CVT,Tri,BA,Abr,ES,ArC,IGr,RJ,SP,PR,SC,URU,ARG,total,BR Endêmico,SWA Endemic,Expatriated,Exotic,References,Museums,OBS,
OSTEICH,Atheriniformes,ATHERINOPSIDAE,Atherinella,Atherinella blackburni,"(Schultz, 1949)",Mamarreis,Beach silverside,1,1,0,0,1,1,1,0,5,VSHALL,2,MEDSMALL,13,ROV,WA,PLANK,DPLA,PEL,N,3,,LC,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,5,0,,,0,,D,,
OSTEICH,Atheriniformes,ATHERINOPSIDAE,Membras,Membras sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,1,,,,,,
OSTEICH,Gasterosteiformes,AULOSTOMIDAE,Aulostomus,Aulostomus strigosus,"Wheeler, 1955","Peixe-trompete, peixe-trombeta",African trumpetfish; Atlantic cornetfish,1,1,0,0,0,0,0,0,2,DEEP,100,LARGE,75,ROV,"SA, OIB, MAR, EA",MCAR,PISC,PEL,N,0,,LC,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,16,0,,,0,"10, 24, 33, 41, 49, 70",D,,
OSTEICH,Tetraodontiformes,BALISTIDAE,Balistes,Balistes capriscus,"Gmelin, 1789",Peixe-porco; Acará-mocó; Cangulo; Fantasma; Maracuguara; Peroá; Porquinho; ,Gray Triggerfish,0,1,1,0,1,1,1,1,6,DEEP,100,MED,35,ROV,"WA, OIB, EA",MINV,MINV,BAL,Y,1,,DD,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,15,0,,,0,"35, 44, 49, 70",H,,
OSTEICH,Tetraodontiformes,BALISTIDAE,Balistes,Balistes vetula ,"Linnaeus, 1758",Cangulo-real; Cangulo rei; Cangulo; Cangulo do alto; Cangulo-listrado; Cangulo-verdadeiro; Gatilho; Peixe-porco; Peroá; ,Queen triggerfish; Old wife,1,1,1,0,1,1,0,0,5,VDEEP,111,MED,50,ROV,"WA, OIB, MAR, EA",MINV,MINV,BAL,Y,1,VU,DD,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,19,0,,,0,"9, 12, 15, 21, 22, 24, 29, 41, 49, 51, 62, 70","D, H",,
OSTEICH,Tetraodontiformes,BALISTIDAE,Canthidermis,Canthidermis maculata,"(Bloch, 1786)",,,1,1,0,0,0,0,0,1,3,VDEEP,110,MED,50,ROV,CT,OMNI,OMNI,BAL,Y,0,,LC,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,,,0,70,,,(OL-SPSP)
OSTEICH,Tetraodontiformes,BALISTIDAE,Canthidermis,Canthidermis sufflamen,"(Mitchill, 1815)",Peixe-porco,Ocean Triggerfish,1,1,0,0,0,0,0,1,3,DEEP,99,LARGE,60,ROV,"WA, OIB, MAR, EA",OMNI,OMNI,BAL,Y,1,,LC,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,17,0,,,0,"15, 22, 24, 31, 51, 70",,,
OSTEICH,Tetraodontiformes,BALISTIDAE,Melichthys,Melichthys niger,"(Bloch, 1786)","Cangulo preto, Niger; Negrito; Cangulo; Cangulo-do-alto; Pretinho; Cangulo-baiê; Cangulo Bandeira ","Black triggerfish, black durgon",1,1,1,0,0,0,0,1,4,DEEP,100,MED,50,ROV,CT,OMNI,OMNI,BAL,Y,2,,LC,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,10,0,,,0,"12, 15, 24, 31, 41, 51, 70","D, H",,
OSTEICH,Tetraodontiformes,BALISTIDAE,Xanthichthys,Xanthichthys ringens,"(Linnaeus, 1758)",,,0,0,1,0,0,0,0,1,2,VDEEP,130,MEDSMALL,25,ROV,WA,MINV,MINV,BAL,Y,0,,LC,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,,,0,"31, 70","D, H",,
OSTEICH,Batrachoidiformes,BATRACHOIDIDAE,Amphichthys,Amphichthys cryptocentrus,"(Valencienes, 1837)",Pacamón; Sapo; Toadfish; Pacuma,Pacuma toadfish; Bocon toadfish,1,1,0,0,0,1,1,0,4,DEEP,70,MED,40,ROV,WA,MCAR,MCAR,DNP,N,0,LC,LC,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,9,0,,,0,"22, 51",P,,
